song,notes
papa_was_a_rollin_stone_tdc,1 b7 1 b7 1 1 1 4 b3 1 1 1 1 b3 4 5 b3 b7 1 b3 b7 b7 b7 1 b3 5 b3 4 b3 4 b3 1 b3 1 1 1 5 6 5 1 b7 b7 1 1 1 b3 1 b3 b3 4 b3 4 b3 4 5 b3 5 b7 1 1 b3 1 1 1 1 b7 1 1 b3 b3 b3 1 b3 b3 1 b3 1 1 1 5 1 1 1 5 b3 4 1 b3 b7 1 1 b3 1 b7 1 b7 1 1 b7 1 1 b3 b7 1 1 1 b3 b3 1 b3 b3 1 b3 1 1 b3 5 1 1 1 5 b3 4 1 b3 b7 1 1 b3 1 b7 1 b7 1 1 5 4 b3 4 5 4 b3 4 4 b3 4 b3 4 b3 4 b3 4 5 b3 1 1 5 5 1 b3 1 b3 1 1 6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 b3 1 b7 1 5 1 1 b7 1 1 b7 1 b7 1 1 b3 1 1 b7 1 1 1 1 5 1 b7 1 1 5 1 b7 1 1 1 b3 4 4 5 b3 1 b7 b7 1 1 b7 1 1 b7 1 1 b3 b7 1 b3 b3 1 b3 b3 1 b3 b3 1 b3 5 1 1 1 b7 5 4 b3 1 b7 b3 b3 b7 1 b7 b3 1 b7 1 5 4 b7 1 1 b7 1 1 b3 b7 b7 1 b3 b3 1 b3 b3 1 b3 b3 1 b3 5 1 1 1 b7 5 4 b3 1 4 b3 b7 1 b7 b3 1 b7 1 1 1 1 1 6 1 b7 1 1 b7 1 b7 1 b7 2 1 1 b7 1 1 1 1 1 1 1 4 b3 1 1 4 b3 1 1 b7 1 b3 b3 b3 b3 1 b3 b3 1 b3 b7 1 4 b3 1 1 b7 1 5 b3 4 5 1 1 1 1 1 b7 1 1 1 b3 1 5 4 b3 4 b3 1 b7 1 b7 1 6 1 b3 3 4 b3 4 b3 5 b3 6 b3 1 6 b7 1 b7 1 1 b7 1 1 b3 6 1 b3 1 b3 b3 1 b3 b3 1 b3 b3 1 b3 5 1 1 1 b3 4 5 b3 1 1 b7 1 b7 5 4 b3 5 b7 1 1 b7 1 5 6 1 b3 1 b7 b7 1 b3 b3 1 b3 b3 1 b3 b3 1 b3 5 1 1 1 b3 4 5 b3 1 1 b7 1 6 1 b3 b7 1 1 b7 1 5 6 1 5 b3 b3 1 b3 b3 1 b3 b3 1 b3 5 1 1 1 b3 4 5 b3 1 1 b7 b3 1 b7 1 6 1 b3 b7 1 1 b7 1 1 b3 b3 b3 1 b3 b3 1 b3 b3 1 b3 1 2
cathys_clown_tdc,6 6 5 6 5 3 3 5 3 5 5 1 6 6 5 6 5 3 3 3 5 2 3 3 3 5 2 3 1 3 2 1 5 1 6 6 5 6 5 3 3 3 5 2 3 1 3 5 3 2 1 1 1 1 1 2 b3 2 1 1 1 1 2 3 2 1 1 1 1 2 3 2 1 1 6 1 2 b3 2 1 1 5 5 1 6 6 5 6 5 3 3 5 3 5 5 1 6 6 5 6 5 3 3 3 5 2 3 3 3 5 2 3 1 3 2 1 5 1 6 6 5 6 5 3 3 3 5 2 3 1 1 3 5 3 2 1 1 1 1 1 2 b3 2 1 1 1 1 2 3 2 1 1 1 1 2 3 2 1 1 6 1 2 3 2 1 1 5 5 1 6 6 5 6 5 3 3 5 3 5 5 1 6 6 5 6 5 3 3 3 5 2 3 3 3 5 2 3 1 3 2 1 5 1 6 6 5 6 5 3 3 3 5 2 3 1 3 5 2 3 1 3 5
lust_for_life_dt,1 1 1 7 3 1 1 7 7 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 7 5 1 1 1 1 1 1 3 1 1 1 1 7 1 7 3 1 7 5 4 5 4 5 5 5 5 4 5 5 4 5 5 5 4 5 4 7 5 7 7 7 7 7 7 7 4 4 3 4 3 4 3 6 4 4 4 5 5 5 5 5 7 1 1 1 1 1 7 1 1 7 1 1 7 3 1 5 4 5 5 5 5 4 5 5 5 5 4 5 4 5 5 5 4 5 4 5 5 1 1 7 1 1 7 3 1 7 1 1 7 1 7 1 7 3 1 7 5 4 5 4 5 5 5 4 5 4 5 5 5 4 5 4 5 5 5 4 5 4 5 5 7 7 7 7 7 7 7 4 4 4 4 3 4 3 6 4 4 4 5 5 5 5 5 1 1 1 1 1 1 2 3 2 3 3 3 2 2 2 2 2 2 1 2 2 2 3 3 3 3 3 3 3 1 2 1 2 2 2 1 2 1 2 2 2 7 7 7 7 7 7 7 4 4 4 4 3 4 3 6 4 4 4 5 4 5 5 5 1 1 7 1 1 1 1 1 1 1 7 3 1 1 5 5 5 5 5 5 5 5 5 5 5 4 5 5 5 4 5 4 5 4 7 5 1 1 1 7 1 1 3 1 7 1 1 1 7 1 7 3 1 7 5 5 5 4 5 5 5 5 5 5 4 5 5 5 4 5 4 7 5 7 7 7 6 7 6 7 3 4 3 4 3 4 3 6 4 4 5 5 4 5 5 5 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3
river_deep_mountain_high_dt,3 3 3 3 3 2 2 1 1 1 1 1 2 6 6 3 5 6 5 6 5 3 2 1 3 3 3 3 3 2 2 1 1 1 1 2 6 5 3 5 6 5 5 5 3 2 1 6 3 5 6 3 2 2 3 6 3 5 6 3 2 1 6 3 5 6 3 2 2 5 5 5 b3 2 1 6 3 5 6 5 6 5 b3 2 1 1 1 2 7 7 2 2 2 5 5 5 5 5 3 3 5 b3 2 1 2 2 7 7 1 7 2 3 5 5 5 5 3 3 5 5 5 b3 2 1 3 3 3 3 3 3 2 6 6 1 1 1 2 6 6 3 5 6 5 5 1 3 1 3 2 2 2 2 2 2 1 1 1 2 6 6 3 5 5 3 5 5 5 3 1 3 5 6 3 2 2 1 1 3 6 b3 2 1 3 6 3 2 2 2 7 3 6 b3 2 1 3 5 5 5 5 3 6 5 b3 2 1 2 2 1 7 1 7 2 1 7 5 5 5 5 5 3 3 5 b3 2 1 6 2 2 1 7 1 7 2 1 7 6 5 5 5 5 3 2 1 6 3 5 5 5 b3 2 1 7 1 6 3 3 1 1 7 1 1 7 1 7 3 2 1 3 4 4 4 5 1 1 7 1 1 1 1 1 4 4 4 4 3 1 4 4 4 4 4 4 5 5 3 1 1 1 6 1 7 3 7 1 1 3 6 5 3 5 3 6 5 6 6 5 7 5 4 3 1 2 2 7 7 2 2 2 3 5 5 5 6 3 3 5 b3 2 2 2 7 7 1 2 2 1 7 3 5 5 5 5 3 2 1 3 5 5 5 b3 2 1 4
crying_dt,3 3 5 6 3 5 6 3 5 6 7 5 3 7 1 2 1 1 1 1 7 1 2 1 1 7 1 2 1 6 4 2 6 6 6 5 5 5 6 7 6 5 5 6 7 1 5 6 3 5 5 3 7 1 5 6 3 5 5 3 7 5 4 4 4 3 1 2 2 1 7 1 7 7 1 2 2 1 2 1 2 1 3 4 3 2 1 1 1 5 1 1 1 1 5 1 1 7 7 1 2 2 1 3 3 5 6 1 3 5 6 3 5 6 7 5 5 3 7 7 1 2 1 1 7 1 2 1 1 1 2 1 1 1 6 1 3 4 3 2 1 1 5 1 1 1 1 5 7 7 1 5 6 3 5 3 1 7 3 7 1 5 6 3 5 3 1 7 3 7 1 1 3 7 6 1 1 7 1 7 1 2 2 1 2 1 2 1 3 4 3 2 1 1 3 1 5 1 4 3 4 5 4 5 3
nothing_compares_2_u_tdc,5 1 2 3 b3 2 1 2 5 3 5 5 5 5 5 4 1 1 1 2 3 b3 2 1 2 6 5 3 5 5 5 5 5 4 1 5 6 1 1 1 1 1 2 2 3 3 2 3 2 1 2 3 5 5 5 5 1 1 1 1 5 1 1 1 5 6 5 1 1 2 3 3 2 3 2 1 2 6 1 1 5 6 1 1 6 1 1 2 2 2 1 4 3 2 1 1 4 3 2 1 1 b3 2 2 5 1 2 3 2 b3 2 2 2 1 1 2 7 6 5 6 3 5 5 5 5 5 4 3 4 5 2 5 3 3 2 3 2 1 b3 2 1 b3 2 2 b3 2 b3 2 1 1 2 6 b3 2 1 2 2 1 6 1 5 5 3 3 3 3 b3 b3 2 1 1 2 7 6 5 6 5 5 5 5 5 1 1 3 4 5 2 5 5 b3 2 1 b3 2 1 b3 2 1 1 2 b3 2 1 1 2 1 1 3 3 2 1 3 3 2 3 b3 b3 b3 1 2 2 1 b3 2 2 1 4 3 2 1 1 3 1 2 2 b3 2 5 3 4 5 2 5 4 5 3 2 3 2 2 1 1 1 2 1 6 2 5 4 5 5 5 5 1 1 1 3 4 5 2 5 3 3 3 2 3 3 2 1 1 1 6 1 2 5 5 5 5 5 5 5 1 4 4 3 5 7 3 4 3 4 3 2 1 1 3 1 2 2 b3 2 4 3 2 1 1 1 b3 2 2 b3 2 4 4 4 3 3 1 b3 2 2 2 b3 2 1 0
billie_jean_dt,5 5 5 4 3 4 3 5 4 3 4 3 5 5 5 5 4 3 4 3 5 4 3 2 1 1 3 2 1 1 3 2 1 1 2 1 1 3 4 3 2 1 1 3 2 1 1 3 2 1 1 2 1 5 5 5 5 4 3 4 3 5 4 3 4 3 5 5 5 5 5 4 3 4 3 5 4 3 2 1 1 3 2 1 1 3 2 1 1 3 2 1 1 7 1 7 1 3 1 3 1 1 7 1 7 5 1 7 1 1 1 7 1 2 2 1 5 7 1 7 1 7 1 7 1 3 1 1 7 1 7 5 1 6 6 6 7 1 1 1 7 7 7 1 2 1 2 1 1 7 5 1 1 7 5 1 1 1 7 5 1 3 4 3 2 1 1 1 5 4 1 6 5 1 3 4 3 2 1 1 1 5 4 1 6 5 5 5 5 4 3 4 3 5 4 3 4 3 5 5 5 5 4 3 4 3 5 4 3 2 2 1 1 3 2 1 1 3 2 1 1 3 2 1 1 3 4 3 2 1 1 1 6 5 3 2 1 6 5 4 3 1 3 5 5 5 5 4 3 4 3 5 4 3 4 3 5 5 5 5 5 4 3 4 3 5 4 3 2 2 1 5 5 4 3 5 5 4 3 b5 5 4 3 1 1 1 1 7 1 7 1 3 1 3 1 1 7 1 7 5 1 7 1 1 1 7 1 2 2 1 5 1 7 1 7 1 7 1 7 1 1 3 1 1 7 1 7 5 1 6 6 6 7 1 1 7 7 7 7 1 1 2 1 1 7 5 1 1 7 5 1 1 1 7 5 1 3 4 3 2 1 1 1 5 4 1 6 5 1 1 7 5 1 1 7 5 1 1 1 7 5 1 3 4 3 2 1 1 1 5 4 1 6 5 1 3 4 3 2 1 1 1 5 4 1 6 5 7 1 3 4 3 2 1 1 1 5 4 1 6 5 1 1 7 5 1 1 7 5 1 1 1 7 5 1 3 4 3 2 1 1 1 5 4 1 6 5 1 3 4 3 2 1 1 1 5 4 1 6 5 1 3 4 3 2 1 1 3 4 3 2 1 1 3 4 3 2 1 1 1 7 5 1 1 7 5 1 1 7 5 1 1 7 5 1 1 7 5 1 1 7 5 1 1 7 5 1 1 7 5 1 1 7 5 1 1 7 5 1 1 7 5 1 1 7 5
let_it_be_dt,5 5 5 5 6 3 5 5 1 2 2 3 3 2 2 1 1 3 3 4 3 3 2 3 2 2 1 5 5 5 6 1 5 5 1 2 2 3 3 2 2 1 1 3 3 4 3 3 2 3 2 2 1 3 2 1 3 5 6 5 5 3 2 1 6 5 3 3 3 4 3 3 2 3 2 2 1 3 5 5 6 1 5 5 1 2 2 3 3 2 2 1 1 3 3 4 3 3 2 3 2 2 1 4 5 5 6 1 5 5 1 2 2 3 3 1 6 3 2 1 3 3 4 3 3 2 3 2 2 1 3 2 1 3 5 6 5 5 3 2 1 6 5 3 5 3 3 5 6 3 2 3 2 2 1 3 2 1 3 5 6 5 5 3 2 1 6 5 3 3 3 4 3 3 2 3 2 2 1 1 1 3 2 1 3 5 6 5 5 3 2 1 2 6 5 3 3 3 4 3 3 2 3 2 2 1 1 5 5 5 6 3 5 5 1 2 2 3 3 2 2 1 1 2 3 3 4 5 3 2 3 2 2 1 3 5 5 6 3 5 5 1 2 2 3 3 5 3 2 1 2 3 3 4 3 3 2 3 2 2 1 1 1 3 2 1 3 5 6 3 5 5 3 2 1 2 6 5 3 3 3 4 3 3 2 3 2 2 1 1 3 2 1 3 5 6 3 5 5 3 2 1 2 6 5 3 3 3 4 3 3 2 3 2 2 1 1 3 2 1 3 5 6 5 5 3 2 1 2 6 5 3 3 3 4 5 3 2 3 2 2 1 1 2
the_sounds_of_silence_tdc,6 6 6 7 1 1 7 6 5 6 5 3 2 4 1 1 1 1 1 1 b3 b3 5 b3 4 2 2 2 2 2 4 4 b3 6 6 6 6 7 1 1 1 7 6 5 1 6 5 3 2 4 1 1 1 1 1 1 b3 b3 5 b3 4 2 2 2 2 2 4 2 b3 6 7 1 1 7 6 5 6 5 3 2 4 1 1 1 1 1 b3 b3 5 b3 4 2 2 2 2 4 2 b3 6 7 1 1 7 6 5 6 1 1 1 5 7 b3 1 1 1 b3 b3 5 b3 4 2 2 2 2 2 4 2 b3 1 1 3 5 5 6 6 6 6 6 7 1 1 1 1 7 6 5 1 6 6 5 3 6 1 1 1 5 7 b3 1
rock_around_the_clock_dt,1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 1 3 5 1 3 5 5 1 3 5 6 5 b7 5 b3 b3 1 1 5 4 b3 1 5 4 b3 5 5 5 5 4 3 1 5 4 3 3 4 3 4 4 3 4 5 4 5 4 3 1 1 1 1 1 3 5 1 3 5 5 5 1 3 5 6 b7 5 b3 1 2 1 5 4 b3 1 5 4 b3 5 5 5 5 4 3 1 5 4 3 3 4 3 4 4 3 4 5 4 5 4 b3 1 1 1 1 1 1 1 3 5 1 3 5 5 1 3 5 6 b7 5 b3 b3 1 2 1 5 4 b3 1 5 4 b3 5 5 5 5 4 3 1 5 4 3 3 4 3 4 4 3 4 5 4 5 4 b3 1 1 1 1 1 3 5 1 1 3 5 1 1 1 3 5 5 5 b3 1 1 2 1 5 4 b3 1 5 4 b3 5 5 5 5 4 3 1 5 4 3 3 4 3 4 4 3 4 5 4 5 4 3 1 1 1 1 1 1 1 3 5 5 1 3 5 5 5 1 3 5 5 5 b3 b3 1 2 1 5 4 b3 1 5 4 b3 5 5 5 5 4 3 1 5 4 3 3 4 3 4 4 3 4 5 4 5 4 b3 3 3 1 3
bo_diddley_tdc,3 3 3 3 5 3 3 1 1 1 2 3 3 b3 2 1 1 1 6 5 1 1 1 1 1 1 1 5 6 1 1 3 3 5 3 2 1 3 2 1 1 1 5 5 6 1 1 7 3 3 3 5 3 2 1 1 2 3 1 3 3 3 3 2 2 1 1 1 6 3 3 3 5 3 2 1 1 1 3 3 3 3 2 2 1 1 1 6 1 6 b3 b3 b3 b3 2 1 6 1 1 1 2 3 1 b3 b3 2 1 1 1 1 1 1 2 3 3 3 2 1 6 1 1 1 2 3 b3 1 1 1 6 1 1 3 3 3 5 3 3 2 1 1 5 6 2 3 2 2 3 1 1 1 1 1 1 4
folsom_prison_blues_tdc,3 4 5 5 1 1 4 3 3 4 5 1 b3 3 3 4 4 5 1 1 b3 b3 b3 b3 b3 2 1 2 1 2 1 b3 2 1 b3 2 1 5 3 3 2 2 1 2 5 5 5 5 5 4 b3 2 1 3 3 3 4 5 1 1 3 3 3 4 5 1 2 3 4 4 5 1 1 2 2 2 2 2 b3 b3 b3 2 1 2 1 2 1 b3 2 1 2 1 5 3 3 2 2 2 1 2 5 5 5 5 5 4 3 2 1 1 0 3 4 3 5 5 1 1 1 1 3 4 4 5 1 3 4 3 4 4 5 1 b3 b3 b3 b3 b3 2 b3 2 b3 2 1 2 1 2 1 b3 2 1 b3 2 1 5 3 3 2 2 2 1 2 5 5 5 5 5 4 b3 2 1 1 0 5 5 5 5 5 4 3 3 1 1 1 1 5 5 4 3 3 1 5 5 5 5 3 3 1 1 2 1 b3 2 1 2 1 b3 2 1 b3 2 1 b3 2 1 2 1 3 2 1 b3 2 1 5 2 2 2 2 2 1 2 5 5 5 5 4 b3 2 1 2
rockin_in_the_free_world_tdc,2 b3 b3 b3 b3 b3 b3 1 1 b7 b3 b3 b3 1 1 1 b3 b3 b3 b3 1 1 1 1 b3 b3 b3 b3 b3 1 1 b7 b7 b7 1 b3 b3 b3 1 1 1 1 1 1 b7 b7 b7 b7 1 b3 b3 1 1 1 1 1 b7 b7 1 b3 b3 b3 1 1 1 1 1 1 b3 1 1 b7 1 1 7 7 7 7 1 6 2 1 1 7 7 7 7 1 6 2 1 1 7 7 7 7 1 6 6 b3 1 1 1 1 b3 b3 b3 1 1 1 1 b3 b3 b3 1 1 b3 b3 b3 1 1 1 b3 b3 b3 2 b3 b3 1 1 1 4 1 1 1 1 1 b3 1 1 1 1 b7 b7 b7 1 b3 b3 b3 b3 b3 b3 b3 b3 b3 b3 1 b3 b3 b3 1 1 1 1 b3 b3 b3 1 1 1 1 1 7 7 7 7 1 6 2 1 1 7 7 7 7 1 6 2 1 1 7 7 7 7 1 6 6 b3 1 1 1 1 b3 b3 b3 1 1 b3 b3 b3 b3 1 1 1 1 b7 b7 1 b3 b3 b3 b3 1 1 1 1 1 b7 b7 1 b3 b3 1 1 1 1 1 1 b7 b7 1 b3 b3 b3 b3 b3 b3 1 b3 b3 b3 b3 b3 b3 b3 b3 b3 b3 b3 b3 1 1 b7 1 1 7 7 7 7 1 6 2 1 1 7 7 7 7 1 6 2 1 1 7 7 7 7 1 6 5 4 5
a_day_in_the_life_tdc,3 5 3 6 3 5 6 3 1 3 4 3 2 1 2 6 3 3 3 5 5 6 3 5 6 3 1 3 4 3 2 1 2 1 2 1 3 4 3 2 1 2 1 2 5 5 5 6 3 5 6 3 2 1 3 4 3 2 1 2 6 3 3 3 5 3 6 3 5 6 3 1 3 4 3 2 1 3 2 3 2 3 2 3 2 3 2 3 2 3 6 1 3 5 3 6 3 5 6 3 1 3 4 3 2 1 2 6 3 3 3 5 3 6 3 5 6 3 2 1 3 4 3 2 1 3 4 3 6 1 6 1 6 3 4 3 4 3 4 3 4 3 4 3 4 3 4 3 4 3 4 3 4 3 4 3 4 2 0 3 5 4 5 5 3 5 3 b7 b7 1 3 4 5 5 5 3 4 2 2 5 3 5 5 6 4 2 2 1 2 5 4 5 1 5 3 5 5 3 5 b7 1 b7 1 3 4 5 5 5 3 4 2 2 1 5 5 5 5 3 3 4 2 2 2 2 7 1 7 7 6 6 6 6 6 b7 6 5 5 6 7 1 7 7 6 3 3 5 3 6 3 5 6 3 1 3 4 3 2 1 2 6 3 3 3 5 3 6 3 5 6 3 1 3 4 3 2 1 3 2 3 2 3 2 3 2 3 2 3 2 3 6 1 6 1 6 3 4 3 4 3 4 3 4 3 4 3 4 3 4 3 4 3 4 3 4 3 4 3 4 2 0 2
1999_tdc,3 3 3 3 4 4 4 2 2 2 2 2 1 3 5 5 5 1 1 1 2 2 2 2 6 6 6 6 5 1 2 5 5 5 6 6 6 4 4 4 4 4 4 3 5 6 5 5 3 3 3 3 4 4 4 2 2 2 2 2 1 3 6 6 6 4 4 4 4 4 4 4 4 5 5 5 5 5 5 6 6 4 4 4 4 4 4 4 4 5 5 5 5 3 5 5 3 3 3 3 4 4 4 2 2 2 2 2 1 3 5 1 1 1 1 2 2 2 6 6 6 6 5 1 2 5 5 5 5 6 6 6 4 4 4 4 3 5 5 3 3 3 3 4 4 4 2 2 2 2 2 2 1 3 6 5 4 6 5 6 6 6 5 5 4 4 4 4 4 4 4 4 4 5 5 5 5 5 3 6 6 5 6 5 4 4 4 4 4 4 4 5 5 4 4 1 6 6 5 3 5 5 5 5 5 5 5 5 5 4 3 5 5 5 5 5 4 b3 4 b3 5 1 5 5 5 4 b3 4 5 5 5 5 4 b3 4 4 b3 5 5 5 4 b3 1 b3 4 5 5 5 5 6 5 4 4 4 3 5 6 4 4 5 5 4 b3 5 5 5 5 4 b3 4 3 3 5 4 b3 5 5 5 4 4 4 4 4 4 4 4 5 5 5 4 b3 b3 1 1 1 1 1 5 5 4 4 4 4 4 4 4 4 5 5 5 5 3 5 5 4 b3 1 1 4 4 4 4 4 4 4 4 5 5 5 5 5 3 b7 b7 6 6 6 4 4 4 4 4 4 5 5 5 5 3 5 5 4 b3 4 b3 1 5 1 5 4 4 4 3 5 4 4 4 3 5 5 1 1 1 1 b7 5 5 1 1 1 1 1 1 3 4 5 5 5 4 b3 4 b3 5 5 4 b3 5 5 1 1 1 1 1 1 1 2 3 3 3 3 1 6 5 4 b3 4 b3 1 1 5 5 5 6 1 6 1 6 1 1 5 5 5 6 1 1 1 5 5 5 6 5 5 5 5 6 5 5 5 5 5 5 5 6 b7 b7 b7 b7 b7 b7 b7 b7 b7 1 b7 b7 b7 b7 b7 1 3 b7 b7 b7 b7 b7 b7 b7 2 3 b7 1 b7 1 b7 1 b7 2 3 1 b7 1 b7 1 b7 b7 2 3 1 b7 1 1 1 b7 b7 2 3 1 5 1 1 3 1 1 6 2 3 1 1 1 1 1 1 2 3 1 b7 1 1 2 3 1 b7 1 1 1 1 1 5 b7 2 3 b7 1 2 3 2 3 2 3 1 1 1 5 6 2 3 5 6 5 b3 2 2 3 b7 b7 2 3 b7 b7 b7 b7 b7 b7 1 b7 b7 b7 b7 2 3 5 6 1 1 1 6 2 3 1 1 7
i_want_you_back_dt,5 3 2 3 2 1 2 1 1 6 2 6 6 2 1 5 6 1 2 2 6 6 6 5 5 6 1 2 3 3 5 3 3 2 3 1 1 6 1 6 1 1 6 5 5 5 6 1 2 2 6 6 5 5 6 1 2 3 5 3 3 2 3 1 2 5 6 6 6 6 5 5 3 2 1 2 3 1 2 3 3 3 3 3 2 1 3 1 2 1 5 3 2 1 2 3 1 2 1 6 1 3 3 3 3 2 4 3 1 2 1 5 3 3 2 3 1 2 6 6 1 1 1 1 3 2 2 3 1 1 6 5 1 6 1 1 6 5 5 3 3 2 2 1 2 1 6 1 1 1 1 3 2 2 3 1 1 6 5 6 6 1 6 1 1 5 3 3 2 1 2 5 3 2 1 2 3 1 3 1 2 1 6 3 3 3 3 3 1 2 6 3 1 2 1 5 3 2 1 2 3 1 2 1 6 1 3 3 3 3 3 5 3 1 2 1 3 6 6 5 3 6 6 5 3 b7 b7 b7 b7 b7 1 3 6 6 1 6 1 6 b3 b3 2 1 1 6 1 6 1 6 b3 2 4 2 1 6 4 4 5 5 5 1 2 3 b5 4 b3 1 1 5 3 2 3 1 2 1 b3 2 2 3 5 6 1 3 3 3 3 2 4 6 1 2 1 4 4 5 5 1 2 3 b5 4 3 1 1 5 3 2 3 1 1 2 3 1 4 4 3 3 1 2 1 1 2 4 1 4 4 5 6 5 b7 b7 b7 b7 1
waterloo_sunset_dt,6 5 1 6 5 3 2 5 3 2 6 5 3 2 1 6 6 5 1 6 5 3 2 5 3 2 6 5 3 2 1 6 4 5 6 3 2 6 5 6 5 1 6 5 3 2 5 3 2 6 5 3 2 1 6 2 2 2 1 1 7 7 7 6 7 6 5 6 2 2 2 1 1 7 1 7 6 5 5 5 6 7 6 5 6 5 4 6 5 1 6 5 3 2 5 3 2 6 5 3 2 1 6 5 6 5 1 6 5 3 2 5 3 2 6 5 3 2 1 6 4 5 6 3 2 6 5 6 5 1 6 5 3 2 5 3 2 6 5 3 2 1 6 2 2 2 1 1 7 7 7 6 7 6 5 6 2 2 2 1 1 7 1 7 6 5 5 5 6 7 6 5 6 5 4 6 5 1 6 5 3 2 5 3 2 6 5 3 2 1 6 5 6 5 1 6 5 2 3 2 5 3 2 6 5 3 2 1 6 4 5 6 3 2 6 5 6 5 1 6 5 3 2 5 3 2 6 5 3 2 1 6 5 5 5 5 6 7 6 5 3
heroes_tdc,3 2 1 1 2 3 3 3 1 1 2 4 4 4 4 5 6 5 3 6 4 2 1 5 1 6 5 3 1 5 b7 5 6 1 1 6 5 5 3 5 3 1 6 2 1 5 3 3 1 2 3 6 1 5 5 5 3 5 1 1 1 1 6 5 6 5 3 1 1 4 2 4 4 4 4 5 6 5 3 3 6 1 1 1 1 1 6 5 3 1 3 b7 2 4 1 1 1 6 5 1 1 6 5 8 3 3 3 2 1 1 1 1 3 3 3 3 1 1 1 2 4 4 4 4 4 4 4 4 4 3 4 3 3 2 2 4 4 4 4 3 5 6 4 3 b6 4 5 4 4 4 3 9 3 3 2 1 2 5 3 3 3 2 2 1 1 4 4 4 4 5 6 6 3 4 3 1 3 1 1 1 1 6 5 3 1 2 3 1 1 1 1 b7 3 3 2 2 2 1 3 3 2 1 1 1 1 3 3 2 2 1 1 2 1 1 3 3 3 3 1 1 1 1 1 3 3 2 3 1 b7 3 3 2 3 3 1 3 2 1 4 3 2 3 b3 2 4 2 1 1 1 6 5 2 3 3 3 2 1 2 3 3 3 2 1 2 3 3 3 2 1 1 1 1 6 5 1 1 1 1 2 1 1 3 3 3 4 4 5 6 5 2 3 3 2 1 2 1 6 1 1 1 1 b3 4 4 4 3 2 1 6 1 1 3 3 2
not_fade_away_tdc,1 1 1 1 5 5 5 5 5 6 2 5 5 5 5 3 3 2 1 1 1 1 1 1 1 5 5 5 6 5 4 4 5 5 5 5 3 2 1 1 1 2 3 4 5 4 5 5 5 3 3 2 1 1 1 8 1 1 1 1 6 5 5 5 5 5 6 4 5 4 5 5 5 3 3 2 1 1 1 1 5 2 1 1 1 1 5 5 5 5 6 6 2 5 5 5 5 5 3 2 1 1 1 5 5 5 5 3 3 2 1 1 1 2 9 1 1 1 1 1 5 5 5 5 5 5 6 5 4 2 5 5 5 5 3 3 2 1 1 1 1 1 1 1 6 5 5 5 5 6 2 5 5 5 3 3 2 1 1 1 2 3 5 5 5 5 3 3 2 1 1 1 1 0
respect_tdc,b3 1 6 1 1 1 6 b3 2 1 2 b7 b7 1 1 b7 1 b3 2 1 6 6 b7 b7 7 1 b7 5 1 5 1 5 6 1 1 b7 1 b7 1 6 b3 2 1 2 1 2 1 1 6 b3 2 1 6 1 2 6 1 1 b7 1 b3 2 1 6 6 1 1 1 3 1 1 1 1 2 1 b3 1 1 6 1 b7 7 7 6 7 7 1 1 6 6 1 2 2 2 1 6 6 1 6 1 b7 b3 1 2 b7 b3 1 1 b7 1 1 1 5 6 1 b3 1 1 b7 1 b7 7 7 7 1 1 1 6 1 2 1 2 1 2 1 1 1 6 1 b3 2 1 5 5 5 3 1 2 3 1 1 1 b7 1 5 1 5 6 1 b3 1 1 6 1 1 1 5 1 6 b7 b7 b7 b7 1 1 b7 b7 b7 b7 b7 1 1 b7 5 b7 1 b7 b3 1 b7 b3 1 b3 1 6 5 1 1 1 1 6 b5 4 b3 1 1 1 1 1 6 b3 1 1 1 1 1 6 4 4 b3 1 1 1 1 1 1 6 b3 1 1 1 1 b7 1 1 5 1 2 1 1 6 1 b3 1 b5
superstition_dt,7 1 1 7 3 1 7 5 4 3 4 3 7 1 1 7 3 1 7 5 4 3 4 3 7 1 1 1 3 1 7 5 4 3 4 3 5 1 1 1 3 3 1 5 7 5 4 3 4 3 5 5 5 2 2 2 5 5 2 2 1 1 7 1 2 1 7 5 4 3 1 3 3 1 5 4 3 4 1 5 1 2 3 7 1 1 7 3 1 5 4 3 7 5 4 3 4 3 7 1 1 1 3 1 5 1 7 5 5 4 3 5 4 4 4 3 2 1 5 4 3 7 5 4 3 4 3 7 1 1 1 3 1 7 5 4 3 1 7 5 4 3 4 3 5 5 5 2 2 2 5 2 2 1 3 3 5 5 4 3 1 1 7 1 3 1 7 5 4 3 3 3 1 5 4 3 4 3 1 3 4 5 1 5 2 1 3 7 3 5 4 3 1 1 1 7 1 3 7 5 4 3 4 3 7 1 1 1 3 1 5 4 3 5 7 5 4 4 4 3 7 5 4 3 5 5 1 7 1 1 4 3 5 4 5 3 4 1 7 5 4 3 3 5 4 4 3 1 1 5 5 5 2 2 2 1 1 3 4 3 5 5 5 6 5 4 3 1 7 5 4 4 3 1 5 1 1 1 1 2 2 0
